Item number,SKU,Title,Current price,TCP price,Change $,Change %,Direction,Confidence,Matched to
227431509044,Whatnot-071426-00001-66175,2025-26 Topps Chrome TYLER HERRO #188 Negative Refractor Heat,3.99,5.29,+1.30,+32.6%,UP,100%,
227431509051,Whatnot-071426-00002-18039,2025 Panini Prizm Draft Picks CAM SKATTEBO #9 Gold Ice RC Sun Devils,6.49,5.89,-0.60,-9.2%,DOWN,87%,
227434640903,RBM-0002-00051-74105,2025 Bowman's Best NICK KURTZ #42 Refractor RC Athletics Rookie,5.29,4.59,-0.70,-13.2%,DOWN,89%,
227435767580,Misc-071726-00004-16432,2025 Topps Finest CONNOR NORBY #RAJR-CN /299 MEM RC Auto Marlins,19.19,19.59,+0.40,+2.1%,UP,100%,
227435855995,Misc-071726-00002-95708,2025-26 Topps COOPER FLAGG #201 RC Mavericks ROY,6.39,6.19,-0.20,-3.1%,DOWN,86%,
227435856036,Misc-071726-00001-44008,2022 Panini Prizm SAQUON BARKLEY #218 Purple /125 Giants,8.99,9.69,+0.70,+7.8%,UP,100%,
227435856046,Misc-071726-00006-19302,2026 Topps Perennial All-Stars SHOHEI OHTANI PAS-9 Los Angeles Dodgers,2.69,2.19,-0.50,-18.6%,DOWN,89%,
227435856079,Misc-071726-00005-14855,2026 Topps Series 1 SHOHEI OHTANI 8-Bit Ballers #8B-7 Dodgers,7.50,3.69,-3.81,-50.8%,DOWN,79%,
,227438445657,Leaf Exclusive Legends Double LAMINE YAMAL LIONEL MESSI Serial #7/20 SSP Soccer,,143.89,,,NO PRICE,100%,
227440023516,MATTSFB-072026-00009-86943,2021 Topps Triple Threads AARON JUDGE #86 Citrine /75 Yankees,59.19,66.29,+7.10,+12.0%,UP,100%,
227440119539,BBB-000268-undd3,2025 Bowman Sapphire JAVIER MOGOLLON #BCP-68 Chicago White Sox,2.49,2.89,+0.40,+16.1%,UP,87%,
227440121176,RA-000080-s8hk9,2025-26 Topps Chrome KARL-ANTHONY TOWNS #179 Negative Refractor New York Knicks,9.89,9.59,-0.30,-3.0%,DOWN,86%,
227440121867,BAS-002210-necfl,2024 Topps Heritage ADDISON BARGER #725 Chrome Purple Ref Blue Jays,8.99,9.69,+0.70,+7.8%,UP,100%,
227440131015,FB-1472-i7a6q,2024 Donruss Optic JALEN CARTER #163 One Hundred 💯 Emoji Eagles Football,34.19,42.09,+7.90,+23.1%,UP,100%,
227440132593,CDP-32D2EDB,2022-23 Panini Obsidian GAVI Atomic Red Electric Etch Patch Swatch /44 Barcelona,38.19,45.99,+7.80,+20.4%,UP,100%,
227441638035,RBBB5-0004-00022-38355,2025 Bowman's Best KONNOR GRIFFIN #B25-KG Auto Purple Refractor /75 RC Pirates,405.09,NO MATCH,,,NO PRICE,,
227441643850,DREAMRP-0001-00003-04829,2024 Topps Triple Threads NOLAN RYAN #25 Amber 46/199 Angels HOF Legend!,10.19,10.79,+0.60,+5.9%,UP,100%,
227448634921,EBAY-0002-00008-94704,2025 Bowman's Best NICK KURTZ #BS-2 Showpieces RC Athletics Rookie,6.59,6.89,+0.30,+4.6%,UP,72%,
227448957748,FEARWHT-072626-00003-79806,2026 Bowman Sapphire BRADEN MONTGOMERY #BCP-53 White Sox,2.99,3.69,+0.70,+23.4%,UP,85%,
227448957757,FEARWHT-072626-00009-95992,2026 Bowman Sapphire GAVIN KILEN #BCP-136 Giants,4.99,5.19,+0.20,+4.0%,UP,87%,
227448957770,FEARWHT-072626-00002-41881,2026 Bowman Sapphire BLAKE MITCHELL #BCP-13 Royals,2.99,2.39,-0.60,-20.1%,DOWN,85%,
227448957788,FEARWHT-072626-00006-22538,2026 Bowman Sapphire CRISTOPHER POLANCO #BCP-34 Blue Jays,1.99,2.89,+0.90,+45.2%,UP,100%,
227448957791,FEARWHT-072626-00005-24561,2023 Bowman Draft Sapphire DREW GILBERT #BCP-16 1st Prospect Astros,3.99,4.79,+0.80,+20.1%,UP,100%,
227448957794,FEARWHT-072626-00001-50625,2026 Bowman Sapphire JOSH OWENS #BCP-62 Rangers,7.99,2.89,-5.10,-63.8%,DOWN,72%,
227449022849,KKCWHT-072526-00002-40648,2025 Panini Prizm CAM SKATTEBO #RGR-CSO Rookie Gear Pink (MEM RC) Giants,18.19,18.59,+0.40,+2.2%,UP,100%,
227449022869,KKCWHT-072526-00004-23393,2025 Panini Prizm Draft Picks ARCH MANNING #166 Green Rated Prospect Longhorns,30.19,38.19,+8.00,+26.5%,UP,100%,
227449170124,KKCWHT-072626-00006-71402,2025 Panini Donruss Optic OMARION HAMPTON #212 Rated Rookie Chargers,1.59,1.99,+0.40,+25.2%,UP,89%,
227449170125,KKCWHT-072626-00002-64119,2025 Panini Donruss Optic CHRISTIAN MCCAFFREY #20 Play Action 49ers,2.49,1.99,-0.50,-20.1%,DOWN,86%,
227449170128,KKCWHT-072626-00009-16446,2025 Panini Donruss Optic QUINSHON JUDKINS #252 Rated Rookie Browns,1.50,1.99,+0.49,+32.7%,UP,85%,
227449170130,KKCWHT-072626-00003-11411,2025 Panini Donruss Optic JACK SAWYER #220 Rated Rookie Steelers,2.49,1.99,-0.50,-20.1%,DOWN,85%,
227449170131,KKCWHT-072626-00005-05359,2025 Panini Donruss Optic JALEN MILROE #253 Rated Rookie Seahawks,1.59,1.99,+0.40,+25.2%,UP,64%,
227449170132,KKCWHT-072626-00008-59423,2025 Panini Donruss Optic COLSTON LOVELAND #204 Rated Rookie Bears,2.49,1.99,-0.50,-20.1%,DOWN,87%,
227449170133,KKCWHT-072626-00007-77081,2025 Panini Donruss Optic ABDUL CARTER #300 Rated Rookie Giants,2.49,1.99,-0.50,-20.1%,DOWN,85%,
227449170137,KKCWHT-072626-00004-59608,2025 Panini Donruss Optic WILL HOWARD #233 Rated Rookie Steelers,1.99,1.99,+0.00,+0.0%,NO CHANGE,84%,
227449170157,KKCWHT-072626-00001-84891,2025 Panini Donruss Optic MALIK NABERS #2 Chain Reaction Giants,1.50,1.99,+0.49,+32.7%,UP,68%,
227449274414,KKCWHT-072626-00027-00236,Sudowoodo 1105/05 CBB1C Chinese Gem Pack Vol. 1 STAMPED Holo Pokemon Card,2.99,NO MATCH,,,NO PRICE,,
227449274419,KKCWHT-072626-00012-73870,Psyduck 65/82 Common Team Rocket Pokemon Unlimited 2000,2.49,NO MATCH,,,NO PRICE,,
227449274421,KKCWHT-072626-00020-33205,2025 Pokemon Gem Pack Vol.1 (SC) - CBB1C Floragato #0206/08,2.99,NO MATCH,,,NO PRICE,,
227449274422,KKCWHT-072626-00010-91764,Fuecoco 0306/09 Baby Shiny Holo Gem Pack Vol 1 Chinese Pokemon,2.49,NO MATCH,,,NO PRICE,,
227449274424,KKCWHT-072626-00014-16132,Magnemite 51/162 Common BREAKthrough Pokemon Near Mint,2.49,NO MATCH,,,NO PRICE,,
227449274472,KKCWHT-072626-00025-32252,Quaxwell 0607/08 Stamped Pokemon CBB1C Gem Pack Vol. 1 S-Chinese,2.99,NO MATCH,,,NO PRICE,,
227449274477,KKCWHT-072626-00015-84432,Scraggy 50/73 Reverse Holo Shining Legends Pokemon Card NM,1.99,NO MATCH,,,NO PRICE,,
227449274479,KKCWHT-072626-00021-42666,Crocalor Stamped Holo 0407/08 Chinese Pokemon Gem Pack Vol 1,1.99,NO MATCH,,,NO PRICE,,
227449274487,KKCWHT-072626-00017-25964,Drednaw 44/142 Stellar Crown Rare Holo,1.59,NO MATCH,,,NO PRICE,,
227449274490,KKCWHT-072626-00026-18357,Quaxly Baby Shiny Holo 0506/09 Chinese Pokemon Gem Pack Vol 1,2.49,NO MATCH,,,NO PRICE,,
227449274505,KKCWHT-072626-00019-73495,Quaxwell 0606/08 Baby Shiny Holo Pokemon CBB1C Gem Pack Vol.1 Chinese Edition,2.49,NO MATCH,,,NO PRICE,,
227449274528,KKCWHT-072626-00013-94684,Reuniclus 76/113 Rare Legendary Treasures Pokemon NM/M,2.49,NO MATCH,,,NO PRICE,,
227449274553,KKCWHT-072626-00018-28196,2025 Pokemon Gem Pack Vol.1 Crocalor #0406/08,2.59,NO MATCH,,,NO PRICE,,
227449274556,KKCWHT-072626-00022-16291,Floragato 0207/08 Stamped Holo Chinese Gem Pack Vol 1 Pokemon,2.59,NO MATCH,,,NO PRICE,,
227449274560,KKCWHT-072626-00024-02033,Pawmo 0905/05 Gem Pack Volume 1 Pokemon Chinese,1.99,NO MATCH,,,NO PRICE,,
227449274564,KKCWHT-072626-00023-03480,Pokemon Chansey [Stamped] Chinese Gem Pack Vol 1 Double Rare 1505/05 Holo,2.99,NO MATCH,,,NO PRICE,,
227449274611,KKCWHT-072626-00028-22051,2025 Rockruff 1205/05 Pokemon Gem Pack Volume 1 Chinese,1.99,NO MATCH,,,NO PRICE,,
227449274621,KKCWHT-072626-00016-14367,PINECO 77/105 COMMON NEO DESTINY POKEMON UNLIMITED,2.49,NO MATCH,,,NO PRICE,,
227449274658,KKCWHT-072626-00011-91703,Sprigatito 0106/09 Baby Shiny Holo Chinese Pokemon Gem Pack Vol 1,2.49,NO MATCH,,,NO PRICE,,
227449274660,KKCWHT-072626-00029-06502,2016 POKEMON XY TRAINER KIT: PIKACHU LIBRE & SUICUNE BLITZLE,1.99,NO MATCH,,,NO PRICE,,
227451129302,WHATNOT-0003-00030-08352,2025 Bowman's Best NICK KURTZ #42 Purple Lazer Ref /250 RC Athletics Rookie ROY!,15.99,16.49,+0.50,+3.1%,UP,100%,
227455465003,RBLOT-073026-00004-12732,2025 Topps Inception MARCELO MAYER #30 Green RC Red Sox,5.19,5.19,+0.00,+0.0%,NO CHANGE,88%,
227455465033,RBLOT-073026-00025-48751,2026 Bowman KAZUMA OKAMOTO #28 RC Blue Jays,7.99,NO MATCH,,,NO PRICE,56%,
227455465139,RBLOT-073026-00008-22021,2026 Bowman Mega Box SAL STEWART #6 Mojo Refractor RC Reds,3.49,1.99,-1.50,-43.0%,DOWN,80%,
227455465146,RBLOT-073026-00016-40014,2026 Bowman Mega Box ETHAN HOLLIDAY #BCP-1 Mojo Refractor 1st Prospect Rockies,4.19,4.19,+0.00,+0.0%,NO CHANGE,87%,
227455465223,RBLOT-073026-00010-30202,2025 Topps Inception CARLOS NARVAEZ #77 Green RC Red Sox,3.39,2.69,-0.70,-20.6%,DOWN,86%,
227455465228,RBLOT-073026-00022-46528,2026 Bowman Mega Box MUNETAKA MURAKAMI #9 Mojo Refractor RC White Sox,10.99,8.69,-2.30,-20.9%,DOWN,90%,
227455465304,RBLOT-073026-00014-70192,2026 Bowman Mega Box CHASE BURNS #3 Mojo Refractor RC Reds,3.99,1.99,-2.00,-50.1%,DOWN,86%,
227455465381,RBLOT-073026-00020-99749,2026 Bowman ERIC HARTMAN #BCP-102 X-Fractor 1st Prospect Braves,13.99,11.59,-2.40,-17.2%,DOWN,68%,
227455465399,RBLOT-073026-00005-16096,2026 Topps Tier One JULIO RODRIGUEZ #47 Bronze Foil Mariners,5.49,6.29,+0.80,+14.6%,UP,100%,
227455465472,RBLOT-073026-00001-15056,2026 Bowman JACOB MISIOROWSKI #BST-13 RC Brewers,4.79,4.19,-0.60,-12.5%,DOWN,84%,
227455465476,RBLOT-073026-00017-74427,2026 Bowman Mega Box SHOHEI OHTANI #52 Mojo Refractor Dodgers,10.99,9.09,-1.90,-17.3%,DOWN,65%,
227455465500,RBLOT-073026-00012-96963,2026 Bowman Mega Box ROMAN ANTHONY #BST-12 Mojo Refractor Red Sox,2.49,3.19,+0.70,+28.1%,UP,64%,
227455465588,RBLOT-073026-00003-62471,2025 Topps Inception MICK ABEL #75 RC Twins,2.49,1.99,-0.50,-20.1%,DOWN,87%,
227455465601,RBLOT-073026-00018-78598,2026 Bowman Mega Box JACOB MISIOROWSKI #35 Mojo Refractor RC Brewers,9.99,6.59,-3.40,-34.0%,DOWN,89%,
227455465619,RBLOT-073026-00011-25725,2026 Bowman Mega Box CHASE BURNS #BST-10 Mojo Refractor Reds,2.49,2.19,-0.30,-12.0%,DOWN,68%,
227455465680,RBLOT-073026-00009-32274,2026 Bowman Mega Box JJ WETHERHOLT #BCP-115 Mojo Refractor Cardinals,2.49,2.89,+0.40,+16.1%,UP,88%,
227455465693,RBLOT-073026-00007-24903,2026 BOWMAN MEGA BOX EDWARD FLORENTINO #BCP-82 MOJO REFRACTOR 1ST PROSPECT,2.99,2.99,+0.00,+0.0%,NO CHANGE,88%,
227455465700,RBLOT-073026-00002-29424,2025 Topps Inception RYAN BLISS #24 RC Mariners,2.49,2.19,-0.30,-12.0%,DOWN,85%,
227455465761,RBLOT-073026-00024-99349,2026 Bowman Mega Box CAM SCHLITTLER #53 Mojo Refractor RC Yankees,4.69,4.39,-0.30,-6.4%,DOWN,86%,
227455465805,RBLOT-073026-00015-33913,2026 Bowman DANIEL PIERCE #BP-77 Sky Blue Border /499 1st Prospect Rays,10.99,6.19,-4.80,-43.7%,DOWN,88%,
227455465848,RBLOT-073026-00006-09209,2025 Topps Inception JAMES WOOD #31 RC Nationals,6.09,6.09,+0.00,+0.0%,NO CHANGE,85%,
227455465869,RBLOT-073026-00013-69829,2026 Bowman Mega Box KEVIN MCGONIGLE #BCP-145 Mojo Refractor Tigers,2.89,3.29,+0.40,+13.8%,UP,68%,
227455465883,RBLOT-073026-00023-35576,2026 Bowman DANIEL PIERCE #BP-77 Fuchsia Border /299 1st Prospect Rays,4.49,4.69,+0.20,+4.5%,UP,100%,
227455555845,SocBox-073026-00024-94572,2026 PANINI PRIZM WORLD CUP KHOZHIAKBAR ALIZHONOV WAVE UZBEKISTAN NT,2.49,3.39,+0.90,+36.1%,UP,100%,
227455555946,SocBox-073026-00025-65195,2026 PANINI PRIZM WORLD CUP MALICK FOFANA FLUORESCENT BLUE WAVE /225 BELGIUM,2.49,3.39,+0.90,+36.1%,UP,100%,
227455555950,SocBox-073026-00020-09020,2026 PANINI PRIZM WORLD CUP TAJON BUCHANAN WAVE CANADA,2.49,1.99,-0.50,-20.1%,DOWN,72%,
227455556020,SocBox-073026-00019-29515,2026 PANINI PRIZM WORLD CUP NGAL'AYEL MUKAU WAVE COD,5.99,6.79,+0.80,+13.4%,UP,100%,
227455556021,SocBox-073026-00027-46462,2026 PANINI PRIZM WORLD CUP AYOUB EL KAABI WAVE RC MOROCCO,2.49,1.99,-0.50,-20.1%,DOWN,83%,
227455556079,SocBox-073026-00004-53822,2026 PANINI PRIZM WORLD CUP MARCUS RASHFORD SCORERS CLUB ENGLAND,2.49,1.99,-0.50,-20.1%,DOWN,79%,
227455556088,SocBox-073026-00005-72185,2026 PANINI PRIZM WORLD CUP LUKA VUSKOVIC WAVE RC CROATIA,2.49,2.69,+0.20,+8.0%,UP,84%,
227455556117,SocBox-073026-00014-00661,2026 PANINI PRIZM WORLD CUP KEVIN PINA WAVE CPV,2.49,3.39,+0.90,+36.1%,UP,100%,
227455556130,SocBox-073026-00002-81040,2026 PANINI PRIZM WORLD CUP BRADLEY BARCOLA SCREAMERS SILVER FRANCE,2.49,2.19,-0.30,-12.0%,DOWN,85%,
227455556172,SocBox-073026-00011-66305,2026 PANINI PRIZM WORLD CUP PAU CUBARSI NEW ERA SPAIN,2.49,1.99,-0.50,-20.1%,DOWN,87%,
227455556218,SocBox-073026-00021-70734,2026 PANINI PRIZM WORLD CUP KYLIAN MBAPPE WAVE FRANCE,9.99,3.19,-6.80,-68.1%,DOWN,68%,
227455556231,SocBox-073026-00016-26893,2026 PANINI PRIZM WORLD CUP PELE BRAZIL,2.49,1.99,-0.50,-20.1%,DOWN,63%,
227455556238,SocBox-073026-00009-98120,2026 PANINI PRIZM WORLD CUP MUSAB AL-JUWAYR WAVE SAUDI ARABIA NT,2.49,3.39,+0.90,+36.1%,UP,100%,
227455556303,SocBox-073026-00013-58610,2026 PANINI PRIZM WORLD CUP KEREM AKTURKOGLU FUCHSIA WAVE /65 TURKEY,5.99,6.79,+0.80,+13.4%,UP,100%,
227455556320,SocBox-073026-00010-44772,2026 PANINI PRIZM WORLD CUP GABRIEL MARTINELLI PHENOMENON SILVER BRAZIL,2.49,1.99,-0.50,-20.1%,DOWN,87%,
227455556348,SocBox-073026-00017-84718,2026 PANINI PRIZM WORLD CUP LAMINE YAMAL SPAIN,5.99,1.99,-4.00,-66.8%,DOWN,64%,
227455556366,SocBox-073026-00008-01825,2026 PANINI PRIZM WORLD CUP MATHEW RYAN TROPHY HUNTING WAVE AUSTRALIA,2.49,1.99,-0.50,-20.1%,DOWN,77%,
227455556373,SocBox-073026-00022-91273,2026 PANINI PRIZM WORLD CUP DEAN HUIJSEN WAVE SPAIN,2.49,1.99,-0.50,-20.1%,DOWN,67%,
227455556388,SocBox-073026-00026-28557,2026 PANINI PRIZM WORLD CUP VIRGIL VAN DIJK TROPHY HUNTING SILVER NETHERLANDS,2.49,1.99,-0.50,-20.1%,DOWN,86%,
227455556401,SocBox-073026-00015-91870,2026 PANINI PRIZM WORLD CUP ALESSANDRO CIRCATI WAVE AUSTRALIA,3.99,1.99,-2.00,-50.1%,DOWN,85%,
227455556404,SocBox-073026-00023-87042,2026 PANINI PRIZM WORLD CUP EMMANUEL EMEGHA NEW ERA NETHERLANDS,4.00,1.99,-2.01,-50.2%,DOWN,86%,
227455556420,SocBox-073026-00018-31509,2026 PANINI PRIZM WORLD CUP IBRAHIM MAZA NEW ERA WAVE ALGERIA,5.99,2.69,-3.30,-55.1%,DOWN,67%,
227455556439,SocBox-073026-00003-17039,2026 PANINI PRIZM WORLD CUP LIBERATO CACACE WAVE NZL NT,2.49,3.39,+0.90,+36.1%,UP,100%,
227455556446,SocBox-073026-00028-09529,2026 PANINI PRIZM WORLD CUP HICHAM BOUDAOUI ALGERIA,2.99,1.99,-1.00,-33.4%,DOWN,64%,
227455556499,SocBox-073026-00001-81252,2026 PANINI PRIZM WORLD CUP HIROKI SEKINE WAVE RC JAPAN,2.49,1.99,-0.50,-20.1%,DOWN,70%,
227455556505,SocBox-073026-00006-67915,2026 PANINI PRIZM WORLD CUP KENDRY PAEZ WAVE ECU,5.99,6.79,+0.80,+13.4%,UP,100%,
227455556520,SocBox-073026-00012-33059,2026 PANINI PRIZM WORLD CUP SAEID EZATOLAHI WAVE IRAN,2.49,1.99,-0.50,-20.1%,DOWN,85%,
227459491116,RBLOT-073026-00054-06377,2026 PANINI PRIZM FIFA WORLD CUP LIONEL MESSI PHENOMENON SILVER Prizm ARGENTINA,12.99,3.89,-9.10,-70.1%,DOWN,68%,
227459491144,RBLOT-073026-00033-56981,2025 TOPPS UEFA CLUB COMPETITION FINEST ERLING HAALAND #FM-7 Soccer,4.50,5.29,+0.79,+17.6%,UP,100%,
227459491147,RBLOT-073026-00027-30544,2025-26 Bowman ADDISON DEAL #CPA-AE Chrome Auto 1st Prospect Hawkeyes,10.99,11.59,+0.60,+5.5%,UP,100%,
227459491342,RBLOT-073026-00038-14684,2025-26 Topps Hoops SPUD WEBB #D-7 Dunk-umentory Hawks,3.89,3.89,+0.00,+0.0%,NO CHANGE,81%,
227459491346,RBLOT-073026-00058-85556,2026 PANINI PRIZM FIFA WORLD CUP DAYOT UPAMECANO SCREAMERS WAVE Prizm FRANCE,3.99,1.99,-2.00,-50.1%,DOWN,87%,
227459491374,RBLOT-073026-00045-61071,2026 Bowman VICTOR FIGUEROA #BP-117 Neon Green Border /399 1st Prospect Orioles,4.99,5.79,+0.80,+16.0%,UP,100%,
227459491427,RBLOT-073026-00034-82367,2025-26 Topps Hoops THOMAS SORBER #HRS-TS Rookie Signatures RC Auto Thunder,9.99,7.09,-2.90,-29.0%,DOWN,88%,
227459491560,RBLOT-073026-00049-99543,2026 PANINI PRIZM FIFA WORLD CUP ALI MAJRASHI OLD GLORY /94 SAUDI ARABIA NT,3.49,4.39,+0.90,+25.8%,UP,100%,
227459491585,RBLOT-073026-00056-45187,2026 PANINI PRIZM FIFA WORLD CUP HARRY KANE SCORERS CLUB Silver Prizm ENGLAND,3.99,3.19,-0.80,-20.1%,DOWN,83%,
227459491600,RBLOT-073026-00044-66133,2026 Bowman ANDREW FISCHER #BCP-149 Reptilian Refractor 1st Prospect Brewers,6.99,7.69,+0.70,+10.0%,UP,100%,
227459491626,RBLOT-073026-00037-76973,2025-26 Topps Hoops DEJOUNTE MURRAY #231 Light Burst Purple /99 Pelicans,4.99,5.79,+0.80,+16.0%,UP,100%,
227459491647,RBLOT-073026-00048-34979,2026 PANINI PRIZM FIFA WORLD CUP MUSAB AL-JUWAYR PANDORA SAUDI ARABIA NT Soccer,2.49,2.39,-0.10,-4.0%,DOWN,100%,
227459491672,RBLOT-073026-00046-53194,2025 TOPPS CHROME UEFA CLUB COMPETITIONS JUDE BELLINGHAM #64 REFRACTOR Soccer,2.99,2.39,-0.60,-20.1%,DOWN,87%,
227459491690,RBLOT-073026-00059-99388,2026 PANINI PRIZM FIFA WORLD CUP LUKA VUSKOVIC NEW ERA WAVE Prizm CROATIA Soccer,2.69,1.99,-0.70,-26.0%,DOWN,86%,
227459491699,RBLOT-073026-00053-92116,2026 PANINI PRIZM FIFA WORLD CUP ERLING HAALAND SCREAMERS SILVER Prizm NORWAY,9.99,5.79,-4.20,-42.0%,DOWN,65%,
227459491729,RBLOT-073026-00043-15886,2026 Bowman Mega Box JAKOB MARSEE #86 Sky Blue Mojo Refractor /499 RC Marlins,2.49,2.39,-0.10,-4.0%,DOWN,100%,
227459491765,RBLOT-073026-00051-12162,2026 PANINI PRIZM FIFA WORLD CUP NICO WILLIAMS UNAI SIMON CONNECTIONS WAVE SPAIN,4.99,2.89,-2.10,-42.1%,DOWN,86%,
227459491789,RBLOT-073026-00036-90735,SHAI GILGEOUS-ALEXANDER 2025 Topps Hoops #FP-1 First Round NBA Basketball Card,7.99,8.69,+0.70,+8.8%,UP,100%,
227459491796,RBLOT-073026-00039-65798,2025-26 Topps Hoops SHAI GILGEOUS-ALEXANDER #H-2 Hoopers Thunder,4.19,3.59,-0.60,-14.3%,DOWN,88%,
227459491820,RBLOT_-_07-30-26-11623,2026 Bowman CARLOS VIRAHONDA #BCP-28 Purple Geo Refractor /250 1st Prospect RC,3.99,4.79,+0.80,+20.1%,UP,100%,
227459491889,RBLOT-073026-00052-34979,2026 PANINI PRIZM FIFA WORLD CUP ERLING HAALAND SCORERS CLUB WAVE Prizm NORWAY,18.99,3.89,-15.10,-79.5%,DOWN,70%,
227459491967,RBLOT-073026-00029-88716,ADDISON DEAL 🔥 2025 Bowman Chrome #BCP-50 Reptilian Refractor 1st Prospect RC,2.49,2.39,-0.10,-4.0%,DOWN,100%,
227459491969,RBLOT-073026-00026-48583,2025-26 Bowman JAYLON TYSON #BCV-173 Chrome Reptilian Refractor Cavaliers,2.49,1.99,-0.50,-20.1%,DOWN,100%,
227459491977,RBLOT-073026-00035-52808,2025-26 Topps Hoops JEREMIAH FEARS #BH-22 Bounce House RC Pelicans,3.99,4.59,+0.60,+15.0%,UP,81%,
227459492254,RBLOT-073026-00032-35406,2025-26 TOPPS UEFA CLUB COMPETITION FINEST ERLING HAALAND SHOWMEN MAN CITY,3.99,NO MATCH,,,NO PRICE,,
227459492289,RBLOT-073026-00040-95265,ADDISON DEAL 2025 Bowman #BCP-50 Speckle Refractor /299 1st Prospect,2.49,2.39,-0.10,-4.0%,DOWN,100%,
227459591585,VINCEFB-072026-00002-96316,2026 Bowman Cam Schlittler #53 SP Rookie Red Chrome Variation RC Yankees Pitcher,21.99,30.19,+8.20,+37.3%,UP,100%,
227459724348,CARDSHQBK-0001-00005-01729,2026 Bowman MAX CLARK #BST-5 Sterling Chrome Tigers,2.49,1.99,-0.50,-20.1%,DOWN,87%,
227460740309,RBLOT-073026-00031-01242,2026 PANINI PRIZM FIFA WORLD CUP ERLING HAALAND SCORERS CLUB SILVER Prizm NORWAY,11.99,3.19,-8.80,-73.4%,DOWN,83%,
227461084456,RBLOT-073026-00092-99502,2025-26 Topps Hoops YVES MISSI #HS-YM Signs Auto Pelicans,3.25,4.09,+0.84,+25.8%,UP,85%,
227461084433,RBLOT-073026-00082-50792,2022-23 Topps Chrome MLS COREY BAIRD Pink X Fractor Dynamo,2.49,2.39,-0.10,-4.0%,DOWN,100%,
227461084449,RBLOT-073026-00089-31625,2026 Bowman JORGE QUINTANA #BCP-93 Reptilian Refractor 1st Prospect Padres,2.49,2.39,-0.10,-4.0%,DOWN,100%,
227461084448,RBLOT-073026-00065-51405,2026 Panini Prizm World Cup EDSON ALVAREZ Global Reach Silver Mexico,2.59,2.39,-0.20,-7.7%,DOWN,85%,
227461084434,RBLOT-073026-00091-75264,2026 Bowman MAREK HOUSTON #BCP-16 Lazer Refractor 1st Prospect Twins,2.49,2.39,-0.10,-4.0%,DOWN,100%,
227461084436,RBLOT-073026-00085-96467,2026 Panini Prizm World Cup JOAQUIN PANICHELLI Wave Argentina,4.99,1.99,-3.00,-60.1%,DOWN,82%,
227461032647,RBLOT-073026-00070-93169,2026 Panini Prizm World Cup VINI JR. Screamers Wave Brazil,2.99,2.99,+0.00,+0.0%,NO CHANGE,83%,
227461084444,RBLOT-073026-00083-35342,2026 Panini Prizm World Cup GABRIEL MARTINELLI Fluorescent Blue Wave /225 Brazil,4.99,5.79,+0.80,+16.0%,UP,100%,
227461084441,RBLOT-073026-00084-40941,2026 Panini Prizm World Cup ANTONIO SILVA Fluorescent Blue Wave /225 Portugal,5.39,2.39,-3.00,-55.7%,DOWN,100%,
