Item number,SKU,Title,Current price,TCP price,Change $,Change %,Direction,Confidence,Reason held,Matched to
227449170125,KKCWHT-072626-00002-64119,2025 Panini Donruss Optic CHRISTIAN MCCAFFREY #20 Play Action 49ers,2.49,1.99,-0.50,-20.1%,DOWN,86%,Change -20.1%>20%,
227449170128,KKCWHT-072626-00009-16446,2025 Panini Donruss Optic QUINSHON JUDKINS #252 Rated Rookie Browns,1.50,1.99,+0.49,+32.7%,UP,85%,Change +32.7%>20%,
227449170130,KKCWHT-072626-00003-11411,2025 Panini Donruss Optic JACK SAWYER #220 Rated Rookie Steelers,2.49,1.99,-0.50,-20.1%,DOWN,85%,Change -20.1%>20%,
227449170131,KKCWHT-072626-00005-05359,2025 Panini Donruss Optic JALEN MILROE #253 Rated Rookie Seahawks,1.59,1.99,+0.40,+25.2%,UP,64%,Confidence 64%<85% | Change +25.2%>20%,
227449170132,KKCWHT-072626-00008-59423,2025 Panini Donruss Optic COLSTON LOVELAND #204 Rated Rookie Bears,2.49,1.99,-0.50,-20.1%,DOWN,87%,Change -20.1%>20%,
227449170133,KKCWHT-072626-00007-77081,2025 Panini Donruss Optic ABDUL CARTER #300 Rated Rookie Giants,2.49,1.99,-0.50,-20.1%,DOWN,85%,Change -20.1%>20%,
227449170157,KKCWHT-072626-00001-84891,2025 Panini Donruss Optic MALIK NABERS #2 Chain Reaction Giants,1.50,1.99,+0.49,+32.7%,UP,68%,Confidence 68%<85% | Change +32.7%>20%,
227455465139,RBLOT-073026-00008-22021,2026 Bowman Mega Box SAL STEWART #6 Mojo Refractor RC Reds,3.49,1.99,-1.50,-43.0%,DOWN,80%,Confidence 80%<85% | Change -43.0%>20%,
227455465223,RBLOT-073026-00010-30202,2025 Topps Inception CARLOS NARVAEZ #77 Green RC Red Sox,3.39,2.69,-0.70,-20.6%,DOWN,86%,Change -20.6%>20%,
227455465228,RBLOT-073026-00022-46528,2026 Bowman Mega Box MUNETAKA MURAKAMI #9 Mojo Refractor RC White Sox,10.99,8.69,-2.30,-20.9%,DOWN,90%,Change -20.9%>20%,
227455465304,RBLOT-073026-00014-70192,2026 Bowman Mega Box CHASE BURNS #3 Mojo Refractor RC Reds,3.99,1.99,-2.00,-50.1%,DOWN,86%,Change -50.1%>20%,
227455465381,RBLOT-073026-00020-99749,2026 Bowman ERIC HARTMAN #BCP-102 X-Fractor 1st Prospect Braves,13.99,11.59,-2.40,-17.2%,DOWN,68%,Confidence 68%<85%,
227455465472,RBLOT-073026-00001-15056,2026 Bowman JACOB MISIOROWSKI #BST-13 RC Brewers,4.79,4.19,-0.60,-12.5%,DOWN,84%,Confidence 84%<85%,
227455465500,RBLOT-073026-00012-96963,2026 Bowman Mega Box ROMAN ANTHONY #BST-12 Mojo Refractor Red Sox,2.49,3.19,+0.70,+28.1%,UP,64%,Confidence 64%<85% | Change +28.1%>20%,
227455465588,RBLOT-073026-00003-62471,2025 Topps Inception MICK ABEL #75 RC Twins,2.49,1.99,-0.50,-20.1%,DOWN,87%,Change -20.1%>20%,
227455465601,RBLOT-073026-00018-78598,2026 Bowman Mega Box JACOB MISIOROWSKI #35 Mojo Refractor RC Brewers,9.99,6.59,-3.40,-34.0%,DOWN,89%,Change -34.0%>20%,
227455465619,RBLOT-073026-00011-25725,2026 Bowman Mega Box CHASE BURNS #BST-10 Mojo Refractor Reds,2.49,2.19,-0.30,-12.0%,DOWN,68%,Confidence 68%<85%,
227455465805,RBLOT-073026-00015-33913,2026 Bowman DANIEL PIERCE #BP-77 Sky Blue Border /499 1st Prospect Rays,10.99,6.19,-4.80,-43.7%,DOWN,88%,Change -43.7%>20%,
227455465869,RBLOT-073026-00013-69829,2026 Bowman Mega Box KEVIN MCGONIGLE #BCP-145 Mojo Refractor Tigers,2.89,3.29,+0.40,+13.8%,UP,68%,Confidence 68%<85%,
227455555845,SocBox-073026-00024-94572,2026 PANINI PRIZM WORLD CUP KHOZHIAKBAR ALIZHONOV WAVE UZBEKISTAN NT,2.49,3.39,+0.90,+36.1%,UP,100%,Change +36.1%>20%,
227455555946,SocBox-073026-00025-65195,2026 PANINI PRIZM WORLD CUP MALICK FOFANA FLUORESCENT BLUE WAVE /225 BELGIUM,2.49,3.39,+0.90,+36.1%,UP,100%,Change +36.1%>20%,
227455555950,SocBox-073026-00020-09020,2026 PANINI PRIZM WORLD CUP TAJON BUCHANAN WAVE CANADA,2.49,1.99,-0.50,-20.1%,DOWN,72%,Confidence 72%<85% | Change -20.1%>20%,
227455556021,SocBox-073026-00027-46462,2026 PANINI PRIZM WORLD CUP AYOUB EL KAABI WAVE RC MOROCCO,2.49,1.99,-0.50,-20.1%,DOWN,83%,Confidence 83%<85% | Change -20.1%>20%,
227455556079,SocBox-073026-00004-53822,2026 PANINI PRIZM WORLD CUP MARCUS RASHFORD SCORERS CLUB ENGLAND,2.49,1.99,-0.50,-20.1%,DOWN,79%,Confidence 79%<85% | Change -20.1%>20%,
227455556088,SocBox-073026-00005-72185,2026 PANINI PRIZM WORLD CUP LUKA VUSKOVIC WAVE RC CROATIA,2.49,2.69,+0.20,+8.0%,UP,84%,Confidence 84%<85%,
227455556117,SocBox-073026-00014-00661,2026 PANINI PRIZM WORLD CUP KEVIN PINA WAVE CPV,2.49,3.39,+0.90,+36.1%,UP,100%,Change +36.1%>20%,
227455556172,SocBox-073026-00011-66305,2026 PANINI PRIZM WORLD CUP PAU CUBARSI NEW ERA SPAIN,2.49,1.99,-0.50,-20.1%,DOWN,87%,Change -20.1%>20%,
227455556218,SocBox-073026-00021-70734,2026 PANINI PRIZM WORLD CUP KYLIAN MBAPPE WAVE FRANCE,9.99,3.19,-6.80,-68.1%,DOWN,68%,Confidence 68%<85% | Change -68.1%>20%,
227455556231,SocBox-073026-00016-26893,2026 PANINI PRIZM WORLD CUP PELE BRAZIL,2.49,1.99,-0.50,-20.1%,DOWN,63%,Confidence 63%<85% | Change -20.1%>20%,
227455556238,SocBox-073026-00009-98120,2026 PANINI PRIZM WORLD CUP MUSAB AL-JUWAYR WAVE SAUDI ARABIA NT,2.49,3.39,+0.90,+36.1%,UP,100%,Change +36.1%>20%,
227455556320,SocBox-073026-00010-44772,2026 PANINI PRIZM WORLD CUP GABRIEL MARTINELLI PHENOMENON SILVER BRAZIL,2.49,1.99,-0.50,-20.1%,DOWN,87%,Change -20.1%>20%,
227455556366,SocBox-073026-00008-01825,2026 PANINI PRIZM WORLD CUP MATHEW RYAN TROPHY HUNTING WAVE AUSTRALIA,2.49,1.99,-0.50,-20.1%,DOWN,77%,Confidence 77%<85% | Change -20.1%>20%,
227455556373,SocBox-073026-00022-91273,2026 PANINI PRIZM WORLD CUP DEAN HUIJSEN WAVE SPAIN,2.49,1.99,-0.50,-20.1%,DOWN,67%,Confidence 67%<85% | Change -20.1%>20%,
227455556388,SocBox-073026-00026-28557,2026 PANINI PRIZM WORLD CUP VIRGIL VAN DIJK TROPHY HUNTING SILVER NETHERLANDS,2.49,1.99,-0.50,-20.1%,DOWN,86%,Change -20.1%>20%,
227455556401,SocBox-073026-00015-91870,2026 PANINI PRIZM WORLD CUP ALESSANDRO CIRCATI WAVE AUSTRALIA,3.99,1.99,-2.00,-50.1%,DOWN,85%,Change -50.1%>20%,
227455556404,SocBox-073026-00023-87042,2026 PANINI PRIZM WORLD CUP EMMANUEL EMEGHA NEW ERA NETHERLANDS,4.00,1.99,-2.01,-50.2%,DOWN,86%,Change -50.2%>20%,
227455556420,SocBox-073026-00018-31509,2026 PANINI PRIZM WORLD CUP IBRAHIM MAZA NEW ERA WAVE ALGERIA,5.99,2.69,-3.30,-55.1%,DOWN,67%,Confidence 67%<85% | Change -55.1%>20%,
227455556439,SocBox-073026-00003-17039,2026 PANINI PRIZM WORLD CUP LIBERATO CACACE WAVE NZL NT,2.49,3.39,+0.90,+36.1%,UP,100%,Change +36.1%>20%,
227455556446,SocBox-073026-00028-09529,2026 PANINI PRIZM WORLD CUP HICHAM BOUDAOUI ALGERIA,2.99,1.99,-1.00,-33.4%,DOWN,64%,Confidence 64%<85% | Change -33.4%>20%,
227455556499,SocBox-073026-00001-81252,2026 PANINI PRIZM WORLD CUP HIROKI SEKINE WAVE RC JAPAN,2.49,1.99,-0.50,-20.1%,DOWN,70%,Confidence 70%<85% | Change -20.1%>20%,
227455556520,SocBox-073026-00012-33059,2026 PANINI PRIZM WORLD CUP SAEID EZATOLAHI WAVE IRAN,2.49,1.99,-0.50,-20.1%,DOWN,85%,Change -20.1%>20%,
227459491346,RBLOT-073026-00058-85556,2026 PANINI PRIZM FIFA WORLD CUP DAYOT UPAMECANO SCREAMERS WAVE Prizm FRANCE,3.99,1.99,-2.00,-50.1%,DOWN,87%,Change -50.1%>20%,
227459491427,RBLOT-073026-00034-82367,2025-26 Topps Hoops THOMAS SORBER #HRS-TS Rookie Signatures RC Auto Thunder,9.99,7.09,-2.90,-29.0%,DOWN,88%,Change -29.0%>20%,
227459491560,RBLOT-073026-00049-99543,2026 PANINI PRIZM FIFA WORLD CUP ALI MAJRASHI OLD GLORY /94 SAUDI ARABIA NT,3.49,4.39,+0.90,+25.8%,UP,100%,Change +25.8%>20%,
227459491585,RBLOT-073026-00056-45187,2026 PANINI PRIZM FIFA WORLD CUP HARRY KANE SCORERS CLUB Silver Prizm ENGLAND,3.99,3.19,-0.80,-20.1%,DOWN,83%,Confidence 83%<85% | Change -20.1%>20%,
227459491672,RBLOT-073026-00046-53194,2025 TOPPS CHROME UEFA CLUB COMPETITIONS JUDE BELLINGHAM #64 REFRACTOR Soccer,2.99,2.39,-0.60,-20.1%,DOWN,87%,Change -20.1%>20%,
227459491690,RBLOT-073026-00059-99388,2026 PANINI PRIZM FIFA WORLD CUP LUKA VUSKOVIC NEW ERA WAVE Prizm CROATIA Soccer,2.69,1.99,-0.70,-26.0%,DOWN,86%,Change -26.0%>20%,
227459491765,RBLOT-073026-00051-12162,2026 PANINI PRIZM FIFA WORLD CUP NICO WILLIAMS UNAI SIMON CONNECTIONS WAVE SPAIN,4.99,2.89,-2.10,-42.1%,DOWN,86%,Change -42.1%>20%,
227459491820,RBLOT_-_07-30-26-11623,2026 Bowman CARLOS VIRAHONDA #BCP-28 Purple Geo Refractor /250 1st Prospect RC,3.99,4.79,+0.80,+20.1%,UP,100%,Change +20.1%>20%,
227459491969,RBLOT-073026-00026-48583,2025-26 Bowman JAYLON TYSON #BCV-173 Chrome Reptilian Refractor Cavaliers,2.49,1.99,-0.50,-20.1%,DOWN,100%,Change -20.1%>20%,
227459491977,RBLOT-073026-00035-52808,2025-26 Topps Hoops JEREMIAH FEARS #BH-22 Bounce House RC Pelicans,3.99,4.59,+0.60,+15.0%,UP,81%,Confidence 81%<85%,
227459591585,VINCEFB-072026-00002-96316,2026 Bowman Cam Schlittler #53 SP Rookie Red Chrome Variation RC Yankees Pitcher,21.99,30.19,+8.20,+37.3%,UP,100%,Change +37.3%>20%,
227459724348,CARDSHQBK-0001-00005-01729,2026 Bowman MAX CLARK #BST-5 Sterling Chrome Tigers,2.49,1.99,-0.50,-20.1%,DOWN,87%,Change -20.1%>20%,
227461084456,RBLOT-073026-00092-99502,2025-26 Topps Hoops YVES MISSI #HS-YM Signs Auto Pelicans,3.25,4.09,+0.84,+25.8%,UP,85%,Change +25.8%>20%,
227461084436,RBLOT-073026-00085-96467,2026 Panini Prizm World Cup JOAQUIN PANICHELLI Wave Argentina,4.99,1.99,-3.00,-60.1%,DOWN,82%,Confidence 82%<85% | Change -60.1%>20%,
227461084441,RBLOT-073026-00084-40941,2026 Panini Prizm World Cup ANTONIO SILVA Fluorescent Blue Wave /225 Portugal,5.39,2.39,-3.00,-55.7%,DOWN,100%,Change -55.7%>20%,
227461084457,RBLOT-073026-00090-82693,2026 BOWMAN MEGA BOX EDGAR MONTERO #BCP-139 MOJO REFRACTOR 1ST PROSPECT,2.49,1.99,-0.50,-20.1%,DOWN,83%,Confidence 83%<85% | Change -20.1%>20%,
227461084428,RBLOT-073026-00066-34542,2026 Panini Prizm FIFA World Cup MIKEL OYARZABAL Silver Prizm Spain Soccer,2.79,1.99,-0.80,-28.7%,DOWN,83%,Confidence 83%<85% | Change -28.7%>20%,
227461084429,RBLOT-073026-00087-21293,2026 Panini Prizm FIFA World Cup DANI OLMO Wave Prizm Spain Soccer,2.49,1.99,-0.50,-20.1%,DOWN,85%,Change -20.1%>20%,
227461084430,RBLOT-073026-00073-54307,2026 Panini Prizm FIFA World Cup KARIM ADEYEMI Orange Wave Prizm /125 Germany,2.79,3.69,+0.90,+32.3%,UP,100%,Change +32.3%>20%,
227461084431,RBLOT-073026-00069-14496,2026 Panini Prizm FIFA World Cup NICO WILLIAMS Wave Prizm Spain Soccer,2.49,1.99,-0.50,-20.1%,DOWN,83%,Confidence 83%<85% | Change -20.1%>20%,
227461084432,RBLOT-073026-00080-67561,2026 Panini Prizm World Cup CHANCEL MBEMBA Fluorescent Blue Wave Prizm /225 COD,2.49,3.39,+0.90,+36.1%,UP,100%,Change +36.1%>20%,
227461084435,RBLOT-073026-00088-53105,2026 Panini Prizm FIFA World Cup GIANLUCA PRESTIANNI Wave Prizm Argentina Soccer,2.49,1.99,-0.50,-20.1%,DOWN,87%,Change -20.1%>20%,
227461084436,RBLOT-073026-00085-96467,2026 Panini Prizm FIFA World Cup JOAQUIN PANICHELLI Wave Prizm Argentina Soccer,4.99,1.99,-3.00,-60.1%,DOWN,85%,Change -60.1%>20%,
227461084437,RBLOT-073026-00062-29623,2026 Panini Prizm World Cup JULIAN ALVAREZ Scorers Club Silver Prizm Argentina,3.29,3.19,-0.10,-3.0%,DOWN,68%,Confidence 68%<85%,
227461084440,RBLOT-073026-00072-69966,2026 Panini Prizm FIFA World Cup PEDRI Aces Wave Prizm Spain Soccer,2.79,2.69,-0.10,-3.6%,DOWN,83%,Confidence 83%<85%,
227461084441,RBLOT-073026-00084-40941,2026 Panini Prizm World Cup ANTONIO SILVA Fluorescent Blue Wave /225 Portugal,5.39,2.39,-3.00,-55.7%,DOWN,100%,Change -55.7%>20%,
227461084442,RBLOT-073026-00068-87650,2026 Panini Prizm FIFA World Cup JESUS RODRIGUEZ Wave Prizm RC Spain Soccer,2.49,2.39,-0.10,-4.0%,DOWN,84%,Confidence 84%<85%,
227461084447,RBLOT-073026-00071-10967,2026 Panini Prizm FIFA World Cup PEDRI Aces Silver Prizm Spain Soccer,2.99,2.69,-0.30,-10.0%,DOWN,83%,Confidence 83%<85%,
227461084449,RBLOT-073026-00089-31625,2026 Bowman Chrome JORGE QUINTANA #BCP-93 Reptilian Refractor 1st Prospect RC,2.49,3.39,+0.90,+36.1%,UP,100%,Change +36.1%>20%,
227461084450,RBLOT-073026-00067-48539,2026 Panini Prizm FIFA World Cup YEREMY PINO Wave Prizm Spain Soccer,2.49,1.99,-0.50,-20.1%,DOWN,85%,Change -20.1%>20%,
227461084451,RBLOT-073026-00086-68461,2026 Panini Prizm FIFA World Cup PAU CUBARSI Wave Prizm Spain Soccer,2.49,1.99,-0.50,-20.1%,DOWN,74%,Confidence 74%<85% | Change -20.1%>20%,
227461084452,RBLOT-073026-00077-94329,2026 Panini Prizm World Cup LEON GORETZKA Fluorescent Blue Wave /225 Germany,2.49,3.39,+0.90,+36.1%,UP,100%,Change +36.1%>20%,
227461084454,RBLOT-073026-00074-10050,2026 Panini Prizm World Cup TREZEGUET Fluorescent Blue Wave Prizm /225 Egypt,8.29,4.49,-3.80,-45.8%,DOWN,86%,Change -45.8%>20%,
227461084456,RBLOT-073026-00092-99502,2025-26 Topps Hoops YVES MISSI #HS-YM Hoops Signs Auto RC New Orleans Pelicans,3.25,4.09,+0.84,+25.8%,UP,100%,Change +25.8%>20%,
227461084457,RBLOT-073026-00090-82693,2026 Bowman Mega Box EDGAR MONTERO #BCP-139 Mojo Refractor 1st Prospect RC A's,2.49,3.39,+0.90,+36.1%,UP,100%,Change +36.1%>20%,
227461084458,RBLOT-073026-00081-09874,2026 Panini Prizm World Cup JOSHUA KIMMICH Fluorescent Blue Wave /225 Germany,2.99,3.89,+0.90,+30.1%,UP,100%,Change +30.1%>20%,
227462336906,FBrelist-080426-0001,LUKE MCCAFFREY 2024 Panini Absolute Star Gazing #SG-LMY RC Rookie Football,2.49,1.99,-0.50,-20.1%,DOWN,86%,Change -20.1%>20%,
227462336911,FBrelist-080426-0002,MICHAEL PENIX JR. 2024 Panini Illusions #4 RC Falcons Rookie Football,2.99,1.99,-1.00,-33.4%,DOWN,85%,Change -33.4%>20%,
227462336918,FBrelist-080426-0005,XAVIER WORTHY 2024 Topps Chrome Rookies #208 RC KC Chiefs Football,2.99,1.99,-1.00,-33.4%,DOWN,76%,Confidence 76%<85% | Change -33.4%>20%,
227462336921,FBrelist-080426-0006,2024 Topps Chrome MARVIN HARRISON JR. FINESSE RC Rookie #F-5 Cardinals Football,3.49,1.99,-1.50,-43.0%,DOWN,88%,Change -43.0%>20%,
227462336925,FBrelist-080426-0007,ROME ODUNZE 2024 Panini Absolute Star Gazing #SG-ROE RC Bears Rookie Football,2.99,1.99,-1.00,-33.4%,DOWN,79%,Confidence 79%<85% | Change -33.4%>20%,
227462336930,FBrelist-080426-0011,ANTHONY RICHARDSON PREMIER LEVEL 2023 Panini Select #117 RC Colts Rookie,3.99,1.99,-2.00,-50.1%,DOWN,79%,Confidence 79%<85% | Change -50.1%>20%,
227462336931,FBrelist-080426-0004,ROME ODUNZE 2024 Panini Illusions #14 RC Bears Rookie Football,2.99,1.99,-1.00,-33.4%,DOWN,74%,Confidence 74%<85% | Change -33.4%>20%,
227462336932,FBrelist-080426-0013,2023 Panini MOSAIC Football Ja'Marr Chase card #43 Cincinnati Bengals,2.99,1.99,-1.00,-33.4%,DOWN,60%,Confidence 60%<85% | Change -33.4%>20%,
227462336933,FBrelist-080426-0003,KEON COLEMAN 2024 Panini Absolute #BS-KCN RC Bills By Storm Rookie Football,2.99,1.99,-1.00,-33.4%,DOWN,89%,Change -33.4%>20%,
227462336937,FBrelist-080426-0014,JALEN HURTS 2023 Panini Absolute #28 Philadelphia Eagles Football,2.99,1.99,-1.00,-33.4%,DOWN,66%,Confidence 66%<85% | Change -33.4%>20%,
227462336938,FBrelist-080426-0017,JOE BURROW 2023 Panini Donruss #57 Bengals Football,3.49,1.99,-1.50,-43.0%,DOWN,60%,Confidence 60%<85% | Change -43.0%>20%,
227462336939,FBrelist-080426-0009,PATRICK MAHOMES II 2024 Panini Absolute #50 Football,2.99,1.99,-1.00,-33.4%,DOWN,87%,Change -33.4%>20%,
227462336944,FBrelist-080426-0010,2024 Prizm CADE STOVER Football Orange Cracked Ice Prizm Rookie RC Texans #318,4.99,2.29,-2.70,-54.1%,DOWN,85%,Change -54.1%>20%,
227462336969,FBrelist-080426-0012,2024 Donruss Optic TREY BENSON Rated Rookie #293 Cardinals RC Football,2.99,1.99,-1.00,-33.4%,DOWN,88%,Change -33.4%>20%,
227462336985,FBrelist-080426-0015,2021 Select #31 Deebo Samuel 49ers RC Rookie Football,1.49,1.99,+0.50,+33.6%,UP,63%,Confidence 63%<85% | Change +33.6%>20%,
227462337005,FBrelist-080426-0023,2024 Topps Finest KEON COLEMAN Rookie Card Buffalo Bills #92 RC Football,2.99,1.99,-1.00,-33.4%,DOWN,72%,Confidence 72%<85% | Change -33.4%>20%,
227462337014,FBrelist-080426-0025,CONCOURSE TREVOR LAWRENCE 2024 Panini Select Silver #98 Silver Prizm Jaguars,3.99,1.99,-2.00,-50.1%,DOWN,76%,Confidence 76%<85% | Change -50.1%>20%,
227462337016,FBrelist-080426-0008,2024 Bowman Chrome U University Football PICK COMPLETE YOUR SET Pink Lava,3.49,1.99,-1.50,-43.0%,DOWN,81%,Confidence 81%<85% | Change -43.0%>20%,
227462337075,FBrelist-080426-0020,MOSIAC JORDAN LOVE PACKERS 2023 Panini #83 Football,3.49,2.69,-0.80,-22.9%,DOWN,68%,Confidence 68%<85% | Change -22.9%>20%,
227462337089,FBrelist-080426-0031,2023 Panini MOSAIC - Lamar Jackson #13 Ravens Football,3.49,1.99,-1.50,-43.0%,DOWN,87%,Change -43.0%>20%,
227462337090,FBrelist-080426-0024,2024 Donruss Optic Rated Rookie DALLAS TURNER NEGATIVE Auto /325 #224 Vikings RC,31.09,39.09,+8.00,+25.7%,UP,100%,Change +25.7%>20%,
227462337098,FBrelist-080426-0030,2023 Panini MOSAIC - Keyshawn Johnson #81 Green Mosaic Prizm Jets Football,2.99,1.99,-1.00,-33.4%,DOWN,63%,Confidence 63%<85% | Change -33.4%>20%,
227462337101,FBrelist-080426-0026,2023 Panini Select Draft PICKS - Concourse Josh Allen #27 Blue Bills Football,1.49,1.99,+0.50,+33.6%,UP,86%,Change +33.6%>20%,
227462337104,FBrelist-080426-0022,2024 Panini Donruss - RETRO 1994 Brock Bowers #29 RC Raiders Rookie Football,2.99,1.99,-1.00,-33.4%,DOWN,74%,Confidence 74%<85% | Change -33.4%>20%,
227462337113,FBrelist-080426-0032,ASHTON JEANTY 2024 Bowman University Chrome #17 RC Raiders Boise State Football,5.99,4.19,-1.80,-30.1%,DOWN,78%,Confidence 78%<85% | Change -30.1%>20%,
227462337115,FBrelist-080426-0035,2023 Panini MOSAIC - Amari Cooper #50 Browns Football,2.99,1.99,-1.00,-33.4%,DOWN,66%,Confidence 66%<85% | Change -33.4%>20%,
227462337121,FBrelist-080426-0029,2024 Panini MOSAIC - Bijan Robinson #9 Falcons Football,2.99,1.99,-1.00,-33.4%,DOWN,66%,Confidence 66%<85% | Change -33.4%>20%,
227462337126,FBrelist-080426-0027,2023 Panini MOSAIC - National Pride Lamar Jackson #260 Ravens Football,2.99,1.99,-1.00,-33.4%,DOWN,86%,Change -33.4%>20%,
227462337133,FBrelist-080426-0040,FRANK GORE JR. 2024 Topps Finest Common #81 RC Bills Rookie Football,2.99,1.99,-1.00,-33.4%,DOWN,77%,Confidence 77%<85% | Change -33.4%>20%,
227462337157,FBrelist-080426-0039,LADD MCCONKEY 2024 Panini Absolute Rookies #134 RC Chargers Football,2.99,1.99,-1.00,-33.4%,DOWN,68%,Confidence 68%<85% | Change -33.4%>20%,
227462337169,FBrelist-080426-0047,CHRISTIAN KIRK 2024 Panini Prizm Green Cracked Ice #131 Jaguars Football,2.99,3.89,+0.90,+30.1%,UP,100%,Change +30.1%>20%,
227462337172,FBrelist-080426-0044,DAVID MONTGOMERY 2024 Panini Prizm #94 Lazer Prizm Lions Football,3.49,1.99,-1.50,-43.0%,DOWN,67%,Confidence 67%<85% | Change -43.0%>20%,
227462337178,FBrelist-080426-0048,LAIATU LATU FOOTBALL 2024 Panini Prizm #5 PRIZMATIC GREEN ICE COLTS RC ROOKIE,3.49,1.99,-1.50,-43.0%,DOWN,76%,Confidence 76%<85% | Change -43.0%>20%,
227462337179,FBrelist-080426-0052,ROBBY RAY 2025 Topps Series 2 #459 Gold Parallel #0651/2025 Giants Football,3.99,4.79,+0.80,+20.1%,UP,100%,Change +20.1%>20%,
227462337180,FBrelist-080426-0049,MAXX CROSBY 2024 Panini Contenders Season Ticket Las Vegas Raiders NFL #52,2.99,1.99,-1.00,-33.4%,DOWN,80%,Confidence 80%<85% | Change -33.4%>20%,
227462337191,FBrelist-080426-0045,CHRIS OLAVE 2024 Panini Prizm #206 Black & White Checker Prizm Saints Football,4.99,1.99,-3.00,-60.1%,DOWN,71%,Confidence 71%<85% | Change -60.1%>20%,
227462337207,FBrelist-080426-0057,2025 Bowman #BP-53 Jacob Bresnahan Prospects Giants Baseball,1.49,1.99,+0.50,+33.6%,UP,60%,Confidence 60%<85% | Change +33.6%>20%,
227462337215,FBrelist-080426-0050,DEVONTEZ WALKER 2024 Panini Prizm Rookies #328 RC Ravens Football,2.99,1.99,-1.00,-33.4%,DOWN,60%,Confidence 60%<85% | Change -33.4%>20%,
227462337221,FBrelist-080426-0060,2023 Donruss Optic #CR-TT Tua Tagovailoa Chain Reaction Dolphins Football,2.99,1.99,-1.00,-33.4%,DOWN,86%,Change -33.4%>20%,
227462337234,FBrelist-080426-0062,LADD MCCONKEY 2024 Panini Donruss Rated Rookie #328 RC chargers Football,3.49,1.99,-1.50,-43.0%,DOWN,68%,Confidence 68%<85% | Change -43.0%>20%,
227462337235,FBrelist-080426-0063,2024 Topps Bowman U Chrome Football CAM WARD Base #38 Miami Hurricanes,4.99,2.49,-2.50,-50.1%,DOWN,85%,Change -50.1%>20%,
227462337241,FBrelist-080426-0054,2024 Topps Finest #288 Audric Estime Broncos Football,1.99,2.19,+0.20,+10.1%,UP,62%,Confidence 62%<85%,
